"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"<94>";0;0;0,0032414446241952;0;0;0,00239169919988482;0;0;0;0;0;0;0;0;0;0;0;0;0
"<96>";0,00268282433819913;0,00278518500517257;0,00273197502645955;0,0125319094775964;0,00120858232958608;0,00362841690553935;0,00644735382103034;0,00613088236620933;0;0;0,00465287078160759;0;0,00129124480024173;0;0,0127322743093603;0,00126440599377019;0;0;0,00422770498303084
"<9c>ciana";0,000932084358670784;0;0;0,00380967812978888;0;0,00196094625384568;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>lad";0;0;0;0;0;0,00196094625384568;0;0;0;0;0,00251460341144705;0;0;0;0;0;0;0;0,0102817181958395
"<9c>ledzi<e6>";0;0;0;0;0,00587850996185967;0,00196094625384568;0;0;0;0;0,00251460341144705;0;0;0;0;0;0;0;0
"<9c>lizgon<f3>w";0;0;0;0,00380967812978888;0,00587850996185967;0;0,00522662416628543;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>lizgonami";0;0;0,0032414446241952;0;0;0;0,00318736753036662;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>lub";0;0,0058058830219239;0;0;0,00293925498092983;0;0;0;0;0;0;0;0;0;0;0;0,0194851098491885;0;0
"<9c>mier<e6>";0,00058206685779574;0,00241710030918958;0;0;0;0,00122456922880886;0;0;0;0;0,00157031634817982;0;0;0;0,0128912016490111;0,0115216975477305;0;0;0
"<9c>mierci";0;0,00362565046378437;0;0,00237906296526814;0;0;0;0,00186222285859175;0;0;0,00314063269635964;0,0251964395867035;0,00392208729415667;0;0;0;0;0;0
"<9c>miercio<bf>erc<b9>";0,00186416871734157;0;0;0;0,00293925498092983;0;0,00261331208314272;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>miercio<bf>erc<f3>w";0;0,00944164974838252;0;0;0,00716981791047149;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>miercio<bf>ercami";0,00186416871734157;0,0038705886812826;0;0;0;0;0;0,00596408737451832;0;0;0;0;0;0;0;0;0;0;0
"<9c>miercio<bf>ercy";0,000932084358670784;0,0096764717032065;0;0;0;0;0;0,00298204368725916;0;0;0;0;0;0;0;0;0;0;0
"<9c>miertelny";0;0;0;0,00275536397504467;0;0,00141826172205907;0;0;0;0,004133045962567;0;0;0,00454245145885902;0;0;0;0,0046975595574542;0;0
"<9c>niadanie";0,00466042179335392;0;0;0;0;0;0,00261331208314272;0,00596408737451832;0;0;0;0;0;0;0;0;0;0;0
"<9c>rodek";0,00236044191121133;0;0,00224344063217923;0,0032159191894758;0;0;0,00220601326147555;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wi<ea>ta";0;0;0,00648288924839039;0;0;0;0;0,00363709687955609;0;0;0;0;0;0;0;0;0;0;0
"<9c>wi<ea>towa<e6>";0,00113683147127882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00792177442303314;0;0
"<9c>wi<ea>ty";0;0;0;0;0;0,00392189250769135;0;0;0;0,00285725859734166;0,00502920682289411;0;0;0;0;0;0;0;0
"<9c>wiadek";0,000932084358670784;0;0;0;0;0;0;0,00298204368725916;0,0375065494749638;0;0;0;0;0;0;0;0;0;0
"<9c>wiadomo<9c><e6>";0,00113683147127882;0;0;0;0;0;0,00318736753036662;0;0;0;0;0;0;0;0;0;0;0;0
"<9c>wiat";0;0;0;0;0;0,00196094625384568;0;0;0;0;0;0;0;0,0397457464585437;0;0;0,00649503661639617;0;0
"<9c>wiat<b3>o";0,000674133503169837;0,0013997088797647;0,00192215510833954;0;0;0,00141826172205907;0;0;0;0;0,00181869633480285;0;0;0;0;0;0;0;0
"<9c>wiata";0,000972348006884378;0,000672964693718185;0;0;0;0;0,000908733482390798;0,00103695343623317;0;0,000993561607892943;0,00174881854307124;0;0,00873584357128512;0,0138208868441227;0,0143565801326546;0;0,0022585351672103;0;0
"<9c>wiecie";0;0;0;0;0;0,00196094625384568;0;0;0;0,00571451719468332;0,00754381023434116;0;0;0;0;0;0;0;0
"<9c>wietny";0;0;0;0;0,0107547268657072;0;0;0;0;0;0;0;0,0076602063996311;0;0;0;0;0;0
"<9c>wistoklikiem";0,00227366294255764;0,00236041243709563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<b3><b9>czy<e6>";0,000932084358670784;0,0019352943406413;0;0;0;0,00196094625384568;0;0;0;0;0;0;0;0;0;0;0;0;0
"<b3><f3><bf>ko";0,000932084358670784;0;0;0;0;0,00196094625384568;0,00261331208314272;0;0;0;0;0;0;0;0;0;0;0;0
"<b3>a<f1>cuch";0,00113683147127882;0;0;0;0;0;0,00318736753036662;0;0;0;0;0;0;0;0;0;0;0;0
"<b3>agodny";0;0;0,0032414446241952;0;0;0;0;0;0;0;0,00306697593337449;0;0;0;0;0;0;0;0
"<b3>am";0;0;0;0;0,00248115619585385;0,001655322174848;0;0;0;0;0;0;0;0;0;0;0,0109655000655785;0;0,00867925680866249
"<b3>apa";0,00134826700633967;0;0;0,00551072795008934;0;0;0,00378017550256373;0,00215677426490059;0;0,0020665229812835;0;0;0;0;0;0;0;0;0
"<b3>apa<e6>";0,000932084358670784;0;0;0;0;0;0;0;0;0,00285725859734166;0,00251460341144705;0;0;0;0;0;0;0;0
"<b3>awka";0,00341049441383646;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0;0
"<b3>azienka";0,00134826700633967;0;0,00192215510833954;0,008266091925134;0,00212582717279936;0,00283652344411815;0;0;0;0;0;0;0;0;0;0;0;0;0
"<b3>ucj<b9>";0;0;0;0;0;0;0;0;0;0,00348490076549741;0;0,0492110229309634;0;0;0;0;0;0;0
"<b3>ucj<ea>";0;0;0;0;0;0;0;0;0;0,0104547022964922;0,0184018556002469;0;0;0;0;0;0;0;0
"<b3>ucja";0;0;0;0;0;0;0;0;0;0,0314298445707583;0,0553212750518352;0;0,0439640450213609;0;0;0;0;0;0
"<b3>ucji";0;0;0;0;0;0;0;0;0,0375065494749638;0,00571451719468332;0,0100584136457882;0;0;0;0;0;0;0;0
"<b3>uk";0;0;0;0;0;0;0;0;0;0,00696980153099482;0,00306697593337449;0;0;0;0;0;0;0;0
"<bf><b9>da<e6>";0,00113683147127882;0,00236041243709563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<bf><b9>danie";0;0;0;0;0;0;0;0;0;0;0,00306697593337449;0;0;0;0;0;0,00792177442303314;0;0
"<bf>aden";0,00174620057338722;0,00120855015459479;0,00165964572127987;0;0,00367100444309587;0,00122456922880886;0;0;0;0,0017842972239511;0;0;0;0;0;0;0;0;0
"<bf>o<b3>nierz";0;0;0;0;0;0;0;0;0;0,0104547022964922;0,012267903733498;0;0;0;0;0;0;0;0
"<bf>ona";0;0;0;0;0;0,00392189250769135;0;0;0;0,00285725859734166;0,00251460341144705;0;0;0;0;0;0;0;0
"<bf>y<e6>";0;0,0013997088797647;0;0;0;0,00283652344411815;0;0;0;0;0,00181869633480285;0;0;0;0;0,00889607121734976;0,0046975595574542;0;0
"<bf>ycie";0,000154208117390963;0,000960550707963622;0,00131907961492809;0,000630289830308986;0,000486283213450311;0,000324427534157571;0,000432357793313034;0,000493362364373999;0;0,000945434745463479;0,000416026998475903;0;0;0,00657571031919375;0;0,00101748866370896;0;0,00378173898185392;0,0034021049527875
"<bf>yczenie";0,000786813970403775;0,00653467300419647;0;0;0,00248115619585385;0;0;0;0;0;0,00212268887010726;0;0;0;0;0;0;0;0
"<bf>ywy";0;0,0013997088797647;0;0;0;0,00141826172205907;0;0;0;0;0,00181869633480285;0,029181809372064;0,00454245145885902;0;0;0;0;0;0
"<e6>wiczy<e6>";0;0;0;0;0;0;0,00318736753036662;0,00363709687955609;0;0;0;0;0;0;0;0;0;0;0
"akcja";0,00372833743468313;0;0;0;0;0,00196094625384568;0;0;0,0375065494749638;0;0;0;0;0;0;0;0;0;0
"aktualny";0;0,00236041243709563;0;0;0;0;0;0,00363709687955609;0;0;0;0;0;0;0;0;0;0;0
"alastor";0,00186416871734157;0,0019352943406413;0;0;0;0;0;0,00298204368725916;0;0;0;0;0;0;0;0;0;0;0
"albus";0,00393406985201888;0;0,00448688126435845;0;0,00248115619585385;0,056280953944832;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusa";0;0,0096764717032065;0;0;0,00293925498092983;0,0274532475538395;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusie";0;0,00236041243709563;0;0;0;0,00239169919988482;0;0;0;0;0;0;0;0;0;0;0;0;0
"alice";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0519151850679812;0,0164482500983677;0,0192955151368548;0,00867925680866249
"amos";0,00113683147127882;0;0;0;0;0,00956679679953928;0;0;0;0;0;0;0;0;0;0;0;0;0
"amosa";0,00113683147127882;0;0;0;0;0,00239169919988482;0;0;0;0;0;0;0;0;0;0;0;0;0
"anglii";0;0;0;0,00380967812978888;0;0;0;0;0;0;0,00502920682289411;0,0403479547382186;0;0;0;0;0;0;0
"animagiem";0,00113683147127882;0;0;0;0;0;0,00637473506073324;0;0;0;0;0;0;0;0;0;0;0;0
"aragog";0;0;0;0,00464653435399655;0,00358490895523575;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aresztowa<e6>";0;0;0;0;0,00358490895523575;0;0;0;0;0;0,00306697593337449;0;0;0;0;0;0;0;0
"argument";0,00113683147127882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00792177442303314;0;0
"armia";0;0;0;0;0;0;0;0;0;0;0,012267903733498;0;0;0;0;0;0;0,0278792061239793;0
"aro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00750098732896902;0,0237653232690994;0;0
"artur";0,000932084358670784;0,0019352943406413;0;0;0;0;0;0,00298204368725916;0;0;0;0;0;0;0;0;0;0;0
"artyku<b3>";0,0055925061520247;0,0019352943406413;0;0;0;0;0;0,00596408737451832;0;0;0;0;0;0;0;0;0;0;0
"aslan";0;0;0;0;0;0;0;0;0;0,0265313333131754;0,0360857107918234;0;0,00530171583359336;0,0335511569170684;0;0;0;0;0
"aslana";0;0;0;0;0;0;0;0;0;0,0160586750155599;0,0157031634817982;0,0503928791734069;0,0196104364707834;0,0496407466484307;0,0257824032980222;0;0;0;0
"aslanie";0;0;0;0;0;0;0;0;0;0,00696980153099482;0,00613395186674898;0;0;0;0;0;0;0;0
"astronomia";0;0;0;0;0;0;0;0,00363709687955609;0;0,00348490076549741;0;0;0;0;0;0;0;0;0
"atak";0,000436796469528731;0;0;0;0,00413221030941585;0;0,00122465899258448;0;0,0175764438513181;0,00133897801871629;0;0;0,00294322526755563;0;0,00967385669336113;0,00288204968462722;0;0;0
"atakowa<e6>";0,000674133503169837;0,0013997088797647;0;0;0;0;0,00189008775128187;0,00862709705960234;0;0,004133045962567;0;0;0;0;0;0;0;0;0
"aurora";0,00227366294255764;0,00236041243709563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"avada";0,00186416871734157;0,0019352943406413;0;0;0,00293925498092983;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"azkabanie";0,00186416871734157;0;0;0;0;0,00196094625384568;0,00261331208314272;0;0;0;0;0;0;0;0;0;0;0;0
"azkabanu";0,000786813970403775;0;0;0,0032159191894758;0,00248115619585385;0;0,00220601326147555;0;0;0;0;0;0;0;0;0;0;0;0
